lexeme,INF,GER,PRS.PTCP.SG,PRS.PTCP.PL,PST.PTCP.M.SG,PST.PTCP.F.SG,PST.PTCP.M.PL,PST.PTCP.F.PL,IMP.2SG,IMP.1PL,IMP.2PL,PRS.IND.1SG,PRS.IND.2SG,PRS.IND.3SG,PRS.IND.1PL,PRS.IND.2PL,PRS.IND.3PL,PRS.SBJV.1SG,PRS.SBJV.2SG,PRS.SBJV.3SG,PRS.SBJV.1PL,PRS.SBJV.2PL,PRS.SBJV.3PL,IPRF.IND.1SG,IPRF.IND.2SG,IPRF.IND.3SG,IPRF.IND.1PL,IPRF.IND.2PL,IPRF.IND.3PL,IPRF.SBJV.1SG,IPRF.SBJV.2SG,IPRF.SBJV.3SG,IPRF.SBJV.1PL,IPRF.SBJV.2PL,IPRF.SBJV.3PL,PRET.IND.1SG,PRET.IND.2SG,PRET.IND.3SG,PRET.IND.1PL,PRET.IND.2PL,PRET.IND.3PL,FUT.IND.1SG,FUT.IND.2SG,FUT.IND.3SG,FUT.IND.1PL,FUT.IND.2PL,FUT.IND.3PL,COND.1SG,COND.2SG,COND.3SG,COND.1PL,COND.2PL,COND.3PL,Order
essere,essere,essendo,essente,essenti,stato,stata,stati,state,sii,siamo,siate,sono,sei,e,siamo,siete,sono,sia,sia,sia,siamo,siate,siano,ero,eri,era,eravamo,eravate,erano,fossi,fossi,fosse,fossimo,foste,fossero,fui,fosti,fu,fummo,foste,furono,saro,sarai,sara,saremo,sarete,saranno,sarei,saresti,sarebbe,saremmo,sareste,sarebbero,1
fare,fare,facciendo,facciente,faccienti,fatto,fatta,fatti,fatte,fa,fatsciamo,fate,fatscio,fai,fa,fatsciamo,fate,fanno,fatscia,fatscia,fatscia,fatsciamo,fatsciate,fatsciano,faccievo,faccievi,faccieva,fascievamo,fascievate,faccievano,facciessi,facciessi,facciesse,facciessimo,faccieste,facciessero,feci,facciesti,fescie,facciemmo,faccieste,fesciero,faro,farai,fara,faremo,farete,faranno,farei,faresti,farebbe,faremmo,fareste,farebbero,2
avere,avere,avendo,avente,aventi,avuto,avuta,avuti,avute,abbi,abbiamo,abbiate,ho,hai,ha,abbiamo,abbiate,anno,abbia,abbia,abbia,abbiamo,abbiate,abbiano,avevo,avevi,aveva,avevamo,avevate,avevano,avessi,avessi,avesse,avessimo,aveste,avessero,ebbi,avesti,ebbe,avemmo,aveste,ebbero,avro,avrai,avra,avremo,avrete,avranno,avrei,avresti,avrebbe,avremmo,avreste,avrebbero,3
potere,potere,potendo,potente,potenti,potuto,potuta,potuti,potute,puoi,possiamo,potete,posso,puoi,pwo,possiamo,potete,possono,possa,possa,possa,possiamo,possiate,possano,potevo,potevi,poteva,potevamo,potevate,potevano,potessi,potessi,potesse,potessimo,poteste,potessero,potei,potesti,pote,potemmo,poteste,poterono,potro,potrai,potra,potremo,potrete,potranno,potrei,potresti,potrebbe,potremmo,potreste,potrebbero,4
dire,dire,dicendo,dicente,dicenti,detto,detta,detti,dette,di,dicamo,dite,dico,dici,dice,dicamo,dite,dicono,dica,dica,dica,dicamo,dicate,dicano,dicevo,dicevi,diceva,dicevamo,dicevate,dicevano,dicessi,dicessi,dicesse,dicessimo,diceste,dicessero,dissi,dicesti,disse,dicemmo,diceste,dissero,diro,dirai,dira,diremo,direte,diranno,direi,diresti,direbbe,diremmo,direste,direbbero,5
dovere,dovere,dovendo,dovente,doventi,dovuto,dovuta,dovuti,dovute,devi,dobbiamo,dovete,devo,devi,deve,dobbiamo,dovete,devono,deva,deva,deva,dobbiamo,dobbiate,devano,dovevo,dovevi,doveva,dovevamo,dovevate,dovevano,dovessi,dovessi,dovesse,dovessimo,doveste,dovessero,dovetti,dovesti,dovette,dovemmo,doveste,dovettero,dovro,dovrai,dovra,dovremo,dovrete,dovranno,dovrei,dovresti,dovrebbe,dovremmo,dovreste,dovrebbero,6
volere,volere,volendo,volente,volenti,voluto,voluta,voluti,volute,vuoi,vogliamo,volete,voglio,vuoi,vwole,vogliamo,volete,vogliono,voglia,voglia,voglia,vogliamo,vogliate,vogliano,volevo,volevi,voleva,volevamo,volevate,volevano,volessi,volessi,volesse,volessimo,voleste,volessero,volli,volesti,volle,volemmo,voleste,vollero,vorro,vorrai,vorra,vorremo,vorrete,vorranno,vorrei,vorresti,vorrebbe,vorremmo,vorreste,vorrebbero,7
andare,andare,andando,andante,andanti,andato,andata,andati,andate,va,andiamo,andate,vado,vai,va,andiamo,andate,vanno,vada,vada,vada,andiamo,andiate,vadano,andavo,andavi,andava,andavamo,andavate,andavano,andassi,andassi,andasse,andassimo,andaste,andassero,andai,andasti,ando,andammo,andaste,andarono,andro,andrai,andra,andremo,andrete,andranno,andrei,andresti,andrebbe,andremmo,andreste,andrebbero,8
stare,stare,stando,stante,stanti,stato,stata,stati,state,sta,stiamo,state,sto,stai,sta,stiamo,state,stanno,stia,stia,stia,stiamo,stiate,stiano,stavo,stavi,stava,stavamo,stavate,stavano,stessi,stessi,stesse,stessimo,steste,stessero,stetti,stesti,stette,stemmo,steste,stettero,staro,starai,stara,staremo,starete,staranno,starei,staresti,starebbe,staremmo,stareste,starebbero,9
vedere,vedere,vedendo,vedente,vedenti,visto,vista,visti,viste,vedi,vediamo,vedete,vedo,vedi,vede,vediamo,vedete,vedono,veda,veda,veda,vediamo,vediate,vedano,vedevo,vedevi,vedeva,vedevamo,vedevate,vedevano,vedessi,vedessi,vedesse,vedessimo,vedeste,vedessero,vidi,vedesti,vide,vedemmo,vedeste,videro,vedro,vedrai,vedra,vedremo,vedrete,vedranno,vedrei,vedresti,vedrebbe,vedremmo,vedreste,vedrebbero,10
sapere,sapere,sapendo,sapente,sapenti,saputo,saputa,saputi,sapute,sappi,sappiamo,sappiate,so,sai,sa,sappiamo,sapete,sanno,sappia,sappia,sappia,sappiamo,sappiate,sappiano,sapevo,sapevi,sapeva,sapevamo,sapevate,sapevano,sapessi,sapessi,sapesse,sapessimo,sapeste,sapessero,seppi,sapesti,seppe,sapemmo,sapeste,seppero,sapro,saprai,sapra,sapremo,saprete,sapranno,saprei,sapresti,saprebbe,sapremmo,sapreste,saprebbero,11
dare,dare,dando,dante,danti,dato,data,dati,date,da,diamo,date,do,dai,da,diamo,date,danno,dia,dia,dia,diamo,diate,diano,davo,davi,dava,davamo,davate,davano,dessi,dessi,desse,dessimo,deste,dessero,diedi,desti,diede,demmo,deste,diedero,daro,darai,dara,daremo,darete,daranno,darei,daresti,darebbe,daremmo,dareste,darebbero,12
trovare,trovare,trovando,trovante,trovanti,trovato,trovata,trovati,trovate,trova,troviamo,trovate,trovo,trovi,trova,troviamo,trovate,trovano,trovi,trovi,trovi,troviamo,troviate,trovino,trovavo,trovavi,trovava,trovavamo,trovavate,trovavano,trovassi,trovassi,trovasse,trovassimo,trovaste,trovassero,trovai,trovasti,trovo,trovammo,trovaste,trovarono,trovero,troverai,trovera,troveremo,troverete,troveranno,troverei,troveresti,troverebbe,troveremmo,trovereste,troverebbero,13
mettere,mettere,mettendo,mettente,mettenti,messo,messa,messi,messe,metti,mettiamo,mettete,metto,metti,mette,mettiamo,mettete,mettono,metta,metta,metta,mettiamo,mettiate,mettano,mettevo,mettevi,metteva,mettevamo,mettevate,mettevano,mettessi,mettessi,mettesse,mettessimo,metteste,mettessero,mizi,mettesti,mize,mettemmo,metteste,mizero,mettero,metterai,mettera,metteremo,metterete,metteranno,metterei,metteresti,metterebbe,metteremmo,mettereste,metterebbero,14
parlare,parlare,parlando,parlante,parlanti,parlato,parlata,parlati,parlate,parla,parliamo,parlate,parlo,parli,parla,parliamo,parlate,parlano,parli,parli,parli,parliamo,parliate,parlino,parlavo,parlavi,parlava,parlavamo,parlavate,parlavano,parlassi,parlassi,parlasse,parlassimo,parlaste,parlassero,parlai,parlasti,parlo,parlammo,parlaste,parlarono,parlero,parlerai,parlera,parleremo,parlerete,parleranno,parlerei,parleresti,parlerebbe,parleremmo,parlereste,parlerebbero,15
arrivare,arrivare,arrivando,arrivante,arrivanti,arrivato,arrivata,arrivati,arrivate,arriva,arriviamo,arrivate,arrivo,arrivi,arriva,arriviamo,arrivate,arrivano,arrivi,arrivi,arrivi,arriviamo,arriviate,arrivino,arrivavo,arrivavi,arrivava,arrivavamo,arrivavate,arrivavano,arrivassi,arrivassi,arrivasse,arrivassimo,arrivaste,arrivassero,arrivai,arrivasti,arrivo,arrivammo,arrivaste,arrivarono,arrivero,arriverai,arrivera,arriveremo,arriverete,arriveranno,arriverei,arriveresti,arriverebbe,arriveremmo,arrivereste,arriverebbero,16
pensare,pensare,pensando,pensante,pensanti,pensato,pensata,pensati,pensate,pensa,pensiamo,pensate,penso,pensi,pensa,pensiamo,pensate,pensano,pensi,pensi,pensi,pensiamo,pensiate,pensino,pensavo,pensavi,pensava,pensavamo,pensavate,pensavano,pensassi,pensassi,pensasse,pensassimo,pensaste,pensassero,pensai,pensasti,penso,pensammo,pensaste,pensarono,pensero,penserai,pensera,penseremo,penserete,penseranno,penserei,penseresti,penserebbe,penseremmo,pensereste,penserebbero,17
sembrare,sembrare,sembrando,sembrante,sembranti,sembrato,sembrata,sembrati,sembrate,sembra,sembriamo,sembrate,sembro,sembri,sembra,sembriamo,sembrate,sembrano,sembri,sembri,sembri,sembriamo,sembriate,sembrino,sembravo,sembravi,sembrava,sembravamo,sembravate,sembravano,sembrassi,sembrassi,sembrasse,sembrassimo,sembraste,sembrassero,sembrai,sembrasti,sembro,sembrammo,sembraste,sembrarono,sembrero,sembrerai,sembrera,sembreremo,sembrerete,sembreranno,sembrerei,sembreresti,sembrerebbe,sembreremmo,sembrereste,sembrerebbero,18
prendere,prendere,prendendo,prendente,prendenti,prezo,presa,prezi,preze,prendi,prendiamo,prendete,prendo,prendi,prende,prendiamo,prendete,prendono,prenda,prenda,prenda,prendiamo,prendiate,prendano,prendevo,prendevi,prendeva,prendevamo,prendevate,prendevano,prendessi,prendessi,prendesse,prendessimo,prendeste,prendessero,prezi,prendesti,preze,prendemmo,prendeste,prezero,prendero,prenderai,prendera,prenderemo,prenderete,prenderanno,prenderei,prenderesti,prenderebbe,prenderemmo,prendereste,prenderebbero,19
chiedere,chiedere,chiedendo,chiedente,chiedenti,chiesto,chiesta,chiesti,chieste,chiedi,chiediamo,chiedete,chiedo,chiedi,chiede,chiediamo,chiedete,chiedono,chieda,chieda,chieda,chiediamo,chiediate,chiedano,chiedevo,chiedevi,chiedeva,chiedevamo,chiedevate,chiedevano,chiedessi,chiedessi,chiedesse,chiedessimo,chiedeste,chiedessero,chiezi,chiedesti,chieze,chiedemmo,chiedeste,chiezero,chiedero,chiederai,chiedera,chiederemo,chiederete,chiederanno,chiederei,chiederesti,chiederebbe,chiederemmo,chiedereste,chiederebbero,20
